Position,Feature,Annotation,Category
0,embed/13487,"the word ""The""",word detector
2,embed/3112,"the word ""reported""",word detector
2,embed/4503,"the word ""knew""",word detector
2,embed/16953,(no activations),no activations
2,embed/17378,"the word ""discovered""",word detector
2,embed/22408,(no activations),no activations
2,embed/31806,(no activations),no activations
3,embed/12877,"the word ""the""",word detector
3,embed/32375,"the word ""the""",word detector
4,embed/5944,"the word ""treatment""",word detector
4,embed/7375,"the word ""position""",word detector
4,embed/11773,"the word ""grant""",word detector
4,embed/21701,"the word ""service""",word detector
4,embed/26238,"the word ""operation""",word detector
0,attn_0/1721,"""The""",word detector
0,attn_0/24688,"""The""",word detector
1,attn_0/6052,"the word ""world"" and ""first""",word detector
2,attn_0/23029,?,unclear
2,attn_0/24504,Text at the start of sentences,irrelevant
3,attn_0/1457,"the word ""the""",word detector
3,attn_0/1721,"""The""",word detector
3,attn_0/6120,"(unclear, articles?)",unclear
3,attn_0/6485,"(unclear - ""the""?)",unclear
3,attn_0/14747,"""the"" and words that follow (decreasing intensity)",irrelevant
3,attn_0/16448,"the word ""the"" before object nouns",noun detector
3,attn_0/22726,"NPs starting with ""The""",noun detector
3,attn_0/27332,"the word ""the"" and ""and""",word detector
3,attn_0/28637,"(unclear, text spans after <BOS>)",unclear
2,mlp_0/10,"the word ""reported""",word detector
2,mlp_0/1892,"the word ""claimed""",word detector
2,mlp_0/23405,"the word ""noticed""",word detector
2,mlp_0/23598,"the word ""showed""",word detector
3,mlp_0/4440,"the word ""the""",word detector
3,mlp_0/21469,"the word ""the""",word detector
3,mlp_0/25816,"the word ""the""",word detector
3,mlp_0/26862,"the word ""the""",word detector
4,mlp_0/3068,"the word ""service""",word detector
4,mlp_0/3932,"the word ""grant""",word detector
4,mlp_0/5202,"the word ""operation""",word detector
4,mlp_0/5802,(no activations),no activations
4,mlp_0/9066,"the word ""position""",word detector
4,mlp_0/14220,"the word ""job""",word detector
4,mlp_0/19918,"the word ""bill""",word detector
4,mlp_0/24015,"the word ""file""",word detector
4,mlp_0/25411,"the word ""oven"" ",word detector
0,resid_0/11082,"all tokens in NP after "" the""",noun detector
0,resid_0/11999,"""The"", ""Your"", ""Those""",word detector
0,resid_0/29334,"NPs starting with ""The""",noun detector
1,resid_0/2514,"the word ""patient""",word detector
1,resid_0/11082,"all tokens in NP after "" the""",noun detector
1,resid_0/16341,"the word ""professor""",word detector
2,resid_0/9877,"the word ""reported""",word detector
2,resid_0/11901,"the word ""found""",word detector
2,resid_0/13777,"the word ""noticed""",word detector
2,resid_0/15177,"all tokens in NP after ""The""",noun detector
2,resid_0/15625,(unclear),unclear
2,resid_0/22260,(unclear),unclear
2,resid_0/23497,(unclear),unclear
2,resid_0/26900,(unclear),unclear
2,resid_0/27199,"the word ""showed""",word detector
2,resid_0/29663,"the word ""demonstrate""",word detector
2,resid_0/32458,"the word ""discovered""",word detector
